##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08979592;0.09795918;0.12244898
0.08979592;0.09795918;0.114285715;0.13061225;0.14693879;0.17959186
0.13877553;0.15510206;0.1714286;0.19591841;0.22857144;0.277551
0.1714286;0.18775514;0.21224493;0.2367347;0.277551;0.3346938
0.19591841;0.22040819;0.24489796;0.277551;0.32653055;0.39183658
0.22857144;0.25306123;0.28571424;0.32653055;0.3755101;0.4489794
0.25306123;0.28571424;0.31836727;0.36734682;0.42448962;0.5061222
0.277551;0.30204076;0.34285706;0.39183658;0.45714265;0.5469385
