##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08979592;0.09795918;0.114285715;0.13877553
0.14693879;0.16326533;0.18775514;0.21224493;0.24489796;0.2938775
0.16326533;0.17959186;0.19591841;0.22857144;0.26122448;0.31836727
0.24489796;0.26938772;0.31020403;0.3510203;0.4081631;0.48979568
0.26938772;0.2938775;0.3346938;0.3755101;0.44081613;0.530612
0.277551;0.31020403;0.34285706;0.39183658;0.45714265;0.5469385
0.31020403;0.34285706;0.38367334;0.4326529;0.5061222;0.61224455
0.34285706;0.38367334;0.4326529;0.48979568;0.57142824;0.6857139
0.36734682;0.39999986;0.45714265;0.51428545;0.6040813;0.72653013
0.4081631;0.45714265;0.51428545;0.5877548;0.6857139;0.81632596
