##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08979592;0.09795918;0.114285715;0.13061225;0.14693879;0.17959186
0.15510206;0.1714286;0.19591841;0.22040819;0.26122448;0.31020403
0.2367347;0.26122448;0.2938775;0.3346938;0.38367334;0.46530592
0.25306123;0.277551;0.31836727;0.35918358;0.41632637;0.5061222
0.2938775;0.32653055;0.36734682;0.41632637;0.48163244;0.5795915
0.30204076;0.3346938;0.3755101;0.4326529;0.5061222;0.6040813
0.3346938;0.36734682;0.41632637;0.47346917;0.55510175;0.66122407
0.38367334;0.42448962;0.47346917;0.5387752;0.62857103;0.75918317
0.39183658;0.4326529;0.48979568;0.563265;0.65306085;0.7836729
0.4081631;0.45714265;0.51428545;0.5877548;0.6857139;0.81632596
